filename,class_name,context_name,caption
2337662.jpg,cat,dvd player,a black and white cat watching a tv
2408809.jpg,cat,dvd player,a cat sitting on top of a tv in a living room
2389921.jpg,cat,dvd player,a cat sitting on top of a desk in front of a tv
2369453.jpg,cat,dvd player,a cat sitting on top of a television set
2387912.jpg,cat,dvd player,a kitchen with a large window and lots of clutter on the floor
2342394.jpg,cat,dvd player,a cat sitting on top of a counter next to a television
285682.jpg,cat,dvd player,a black and white cat sitting on top of a microwave
2349617.jpg,cat,dvd player,a cat sitting on top of a flat screen tv
2378882.jpg,cat,dvd player,a cat and a dog sitting on a rug in front of a television
2345671.jpg,cat,dvd player,a cat sitting on the floor watching a television
2388884.jpg,cat,bookcase,a cat that is sitting on top of a bookshelf
2392176.jpg,cat,bookcase,a cat sitting on top of a book shelf
2356120.jpg,cat,bookcase,a cat sitting on top of a bookshelf in a living room
2405446.jpg,cat,bookcase,a dog laying on a bed in a bedroom
2407287.jpg,cat,bookcase,a cat that is wearing a hat
2390524.jpg,cat,bookcase,a cat that is sitting in front of a mirror
2321952.jpg,cat,bookcase,a living room filled with furniture and a window
285735.jpg,cat,bookcase,a cat laying on a couch next to a laptop
2374041.jpg,cat,bookcase,a black and white cat sitting on top of a chair
2385325.jpg,cat,bookcase,a cat sitting on top of a wooden table
2371528.jpg,cat,bookcase,a black and white dog laying on top of a couch
2387395.jpg,cat,bookcase,a cat and a dog laying on a bed
2359938.jpg,dog,woman,a collage of photos showing different types of food
2409697.jpg,dog,woman,a young girl is flying a kite in a field
2316169.jpg,dog,woman,a woman holding a baby while sitting on a couch
2410817.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2335476.jpg,dog,woman,a woman riding a skateboard down a sidewalk next to a dog
2318441.jpg,dog,woman,a woman sitting in a car looking out the window
2322259.jpg,dog,woman,a car that is driving down the street
2374573.jpg,dog,woman,a little girl flying a kite on the beach
2323804.jpg,dog,woman,a row of dogs sitting on a dock next to a body of water
2356619.jpg,dog,woman,a dog catching a frisbee in its mouth
2373351.jpg,dog,woman,two women sitting on a boat in the water
2381417.jpg,dog,woman,a man flying a kite on top of a field
2384517.jpg,dog,woman,a woman walking a dog down a sidewalk
2375883.jpg,dog,woman,a woman walking a dog on a city sidewalk
2324546.jpg,dog,woman,baseball players are playing baseball on a field
2353501.jpg,dog,woman,a dog and a cat sitting on a bike
2402353.jpg,dog,woman,a woman sitting on a bench next to a man
1592181.jpg,dog,woman,a woman sitting on the floor with a dog and a stuffed animal
2408562.jpg,dog,woman,a dog catching a frisbee in its mouth
2391492.jpg,dog,woman,two horses pulling a carriage down a street
2393362.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2415617.jpg,dog,woman,a man and woman sitting on a bench with a dog
2407227.jpg,dog,woman,a person riding skis on top of a snow covered slope
2379484.jpg,dog,woman,a man and a dog sitting on a trail in the woods
2382042.jpg,dog,woman,a woman and a man are looking at a cake
2363530.jpg,dog,woman,a beach with people on the sand and a kite flying in the air
2348412.jpg,dog,woman,a woman feeding a dog water from a bucket
2343433.jpg,dog,woman,a man and woman sitting on a park bench
2394449.jpg,dog,woman,a woman and a dog standing on a sidewalk
2368409.jpg,dog,woman,people sitting around a table with a cake
2371032.jpg,dog,woman,a woman walking down the street with a dog
2376104.jpg,dog,woman,a woman and a dog sitting next to each other
2355266.jpg,dog,woman,a woman standing on top of a field with a frisbee
2347216.jpg,dog,woman,a woman sitting on a couch using a laptop
2387995.jpg,dog,woman,a woman and a child standing near a bus
2387140.jpg,dog,woman,a dog standing next to a bicycle in front of a store
2377704.jpg,dog,woman,a man and a woman petting a dog on a leash
2370727.jpg,dog,woman,a man riding on the back of a brown horse
498019.jpg,dog,woman,a man sitting on a couch with a cat
2320410.jpg,dog,woman,two women sitting under an umbrella at a park
2358897.jpg,dog,woman,a man standing next to a dog in the water
2388985.jpg,dog,woman,a person riding a skateboard down a street
2315606.jpg,dog,woman,a person riding a skateboard on a sidewalk
2338488.jpg,dog,woman,a woman riding a bike down a street
2360562.jpg,dog,woman,two people on skis in the snow
2377429.jpg,dog,woman,a living room filled with furniture and a blue wall
722.jpg,dog,woman,a man walking down the street with a skateboard
2414301.jpg,dog,woman,a man and a woman sitting on a couch
2413346.jpg,dog,woman,three women sitting on a bench next to a bear
2379730.jpg,dog,woman,a woman and a dog on a surfboard in the ocean
2377018.jpg,dog,woman,a crowd of people standing around a motorcycle
2386795.jpg,dog,woman,a woman riding skis down a snow covered slope
2417191.jpg,dog,woman,a man riding a skateboard on top of a city street
2333478.jpg,dog,woman,a large group of people in the ocean with surfboards
2334261.jpg,dog,woman,a man catching a frisbee in a field
2368734.jpg,dog,woman,a person sitting on a bike in the street
2373754.jpg,dog,woman,a woman and a dog on a bus
2320636.jpg,dog,woman,a man riding on the back of a brown horse
2350677.jpg,dog,woman,a woman standing next to a table with a cake
2328869.jpg,dog,woman,a dog that is walking on a sidewalk
2361529.jpg,dog,woman,a woman and her dog are in the field with sheep
2361415.jpg,dog,woman,a family posing for a picture
2382399.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2346200.jpg,dog,woman,a woman sitting on a bench next to a dog
2379063.jpg,dog,woman,a man and a dog on a paddle board in the water
2392123.jpg,dog,woman,a man throwing a frisbee in a park
2329292.jpg,dog,woman,people walking down a street
2394272.jpg,dog,woman,a woman catching a frisbee with a dog
2413880.jpg,dog,woman,three young people riding skateboards down a city street
1160042.jpg,dog,woman,bunches of bananas on display at a market
2395104.jpg,dog,woman,a woman holding a frisbee on a park bench
2347070.jpg,dog,woman,a man and a woman flying a kite on the beach
2384455.jpg,dog,woman,a man riding a horse on top of a beach
2383229.jpg,dog,woman,a woman sitting on the ground in front of a building
2400986.jpg,dog,woman,a white and black dog running across a dirt field
2341652.jpg,dog,woman,a dog that is sitting on the back of a motorcycle
2376475.jpg,dog,woman,a man in a red shirt is holding a dog
2343137.jpg,dog,woman,a woman is holding a small dog in her hand
2349888.jpg,dog,woman,a woman talking on a cell phone next to a river
2387128.jpg,dog,woman,a woman and two dogs are walking down the street
2394611.jpg,dog,woman,a person jumping in the air to catch a frisbee
2371922.jpg,dog,woman,surfers on a beach near the ocean
588.jpg,dog,woman,people walking down a street with a dog
2404081.jpg,dog,woman,a young girl swinging a baseball bat on a beach
2353948.jpg,dog,woman,a dog on a leash on a skateboard
2331177.jpg,dog,woman,a woman cutting a cake on a table
2402346.jpg,dog,woman,a dog catching a frisbee in a park
2361824.jpg,dog,woman,a person riding a bicycle on a city street
1831.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2383252.jpg,dog,woman,a woman petting a dog with a stuffed animal
1592440.jpg,dog,woman,a woman sitting at a table with a laptop in front of her
2332528.jpg,dog,woman,a man holding a dog in his right hand
2364444.jpg,dog,woman,a man in a field with a frisbee
2385453.jpg,dog,woman,a woman sitting in a chair with a dog
2365847.jpg,dog,woman,a dog jumping up to catch a frisbee
2397601.jpg,dog,woman,a woman taking a picture of a dog in a mirror
2329347.jpg,dog,woman,a woman sitting on a paddle boat in the water
2414471.jpg,dog,woman,a woman sitting on a couch next to a dog
2399233.jpg,dog,woman,a man and a dog are walking in the snow
2366841.jpg,dog,woman,a number of people on horses in a field
2343165.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2415707.jpg,dog,woman,a woman sitting on a couch with two dogs
2359950.jpg,dog,woman,a man riding a bike down a path next to a lake
1159610.jpg,dog,woman,people walking down a sidewalk with umbrellas
2334223.jpg,dog,woman,two people walking along a beach with a dog
2367351.jpg,dog,woman,a woman is petting a black and white dog
2414764.jpg,dog,woman,a woman sitting on the grass holding a cell phone
2375612.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2404537.jpg,dog,woman,a man sitting on a beach with a dog
2331500.jpg,dog,woman,a large group of people flying kites in a field
2318308.jpg,dog,woman,a woman holding a dog over a bowl of food
2415470.jpg,dog,woman,a woman sitting on a bed with a laptop computer
2392197.jpg,dog,woman,a woman riding on the back of a motorcycle
2412423.jpg,dog,woman,a woman is petting a brown and white cow
2379225.jpg,dog,woman,a woman walking down the street with a dog
2322106.jpg,dog,woman,a woman sitting on a train looking at her phone
2415110.jpg,dog,woman,a black and white dog standing next to a brick building
2400135.jpg,dog,woman,a woman petting a small dog on a table
2381402.jpg,dog,woman,three people on skis and a dog in the snow
2392036.jpg,dog,woman,a person on a surfboard in the water
2398619.jpg,dog,woman,two surfers carrying their surfboards into the ocean
2411533.jpg,dog,woman,a black and white cat and a brown and white dog on a leash
2363812.jpg,dog,woman,a dog sitting on the floor next to a person
2406866.jpg,dog,woman,a yellow fire hydrant next to a parking lot
2325485.jpg,dog,woman,a woman sitting on the sidewalk with a dog
2356123.jpg,dog,woman,a crowd of people are gathered at a park
2379667.jpg,dog,woman,a woman sitting on a bench next to a dog
2357995.jpg,dog,woman,a train on a track near a bridge
2368944.jpg,dog,woman,a dog chasing a group of people on a surfboard
2413820.jpg,dog,woman,a woman sitting on a bench with a dog
2389504.jpg,dog,woman,two women standing in front of a mirror in a room
2325387.jpg,dog,woman,a man laying on the floor with a dog
3424.jpg,dog,woman,an old building with a statue of a man on top of it
2315716.jpg,dog,woman,a motorcycle is parked on the grass in front of a crowd of people
2348342.jpg,dog,woman,a dog jumping up to catch a frisbee
2407435.jpg,dog,woman,a woman riding a bike with a dog on a leash
2388687.jpg,dog,woman,a woman sitting on the beach with two cows
2405419.jpg,dog,woman,a woman sitting on a beach next to a dog
2382121.jpg,dog,woman,a man and a woman walking a dog on a leash
2389127.jpg,dog,woman,a woman standing next to a dog on a bench
2354002.jpg,dog,woman,a man is walking with an elephant in the street
2326167.jpg,dog,woman,a dog catching a frisbee in its mouth
2402665.jpg,dog,woman,a dog catching a frisbee in its mouth
2337421.jpg,dog,woman,a woman holding a dog and a girl holding a frisbee
2342900.jpg,dog,woman,a man and a woman walking down a street with a dog
2324234.jpg,dog,woman,a woman riding a bicycle with a bag on her head
2352286.jpg,dog,woman,a woman laying on a couch with a laptop on her lap
2414053.jpg,dog,woman,a woman riding a skateboard next to a boy on a skateboard
2406798.jpg,dog,woman,a crowd of people riding bikes down a street
2369147.jpg,dog,woman,a man holding a nintendo wii game controller
2361561.jpg,dog,woman,a man and a dog on skis in the snow
2329428.jpg,dog,woman,a person riding a bike with a dog
2391621.jpg,dog,woman,a woman holding a small dog in a room
2319334.jpg,dog,woman,a person riding a bike on a city street
2376077.jpg,dog,woman,a train that is stopped at a train station
2360774.jpg,dog,woman,a woman is sitting on a scooter in the middle of the street
2393911.jpg,dog,woman,a man and a woman sitting on a couch playing a video game
2345905.jpg,dog,woman,a man and a woman walking down the street with a dog
2385023.jpg,dog,woman,a woman sitting at a desk with a computer
2329691.jpg,dog,woman,a dog laying on a couch in a living room
2407878.jpg,dog,woman,a bus full of people sitting on the seats
2360221.jpg,dog,woman,a dog jumping up to catch a frisbee
2321557.jpg,dog,woman,a crowd of people standing on the side of a road
2348551.jpg,dog,woman,a woman holding a frisbee next to a dog
2414629.jpg,dog,woman,a woman standing next to a red pick up truck
2393935.jpg,dog,woman,a small dog laying on top of a pile of books
2403710.jpg,dog,woman,a number of people on a paddle board in the water
2402737.jpg,dog,woman,motorcycles are parked in a parking lot
2377469.jpg,dog,woman,a man riding a wave on top of a surfboard
2400408.jpg,dog,woman,a woman sitting on a bench talking on a cell phone
2364719.jpg,dog,woman,a dog and a person on a scooter
2400642.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2322354.jpg,dog,woman,a woman and a dog on a surfboard in the ocean
2356624.jpg,dog,woman,a woman sitting on a bench with a dog
2397167.jpg,dog,woman,a woman sitting on a bed with a cat
2344647.jpg,dog,woman,three women sitting on a couch playing a video game
2416114.jpg,dog,woman,a woman walking with an umbrella in the grass
2378582.jpg,dog,woman,a person flying a kite in a grassy field
1592252.jpg,dog,woman,a small dog standing on a sidewalk next to a woman
2365964.jpg,dog,woman,surfers standing on top of a beach
2416279.jpg,dog,woman,a woman and a man are walking down the street
2379154.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2365164.jpg,dog,woman,a woman and a dog are walking down the street
285650.jpg,dog,woman,a woman holding a cake in front of a stove
2396988.jpg,dog,woman,a man sitting on a bench next to a dog
2371647.jpg,dog,woman,a woman walking a dog down a sidewalk
2356036.jpg,dog,woman,a woman walking down a street with a dog
2318384.jpg,dog,woman,a woman holding a dog in her hand
2318049.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2359181.jpg,dog,woman,a man is looking at birds on a street
2388411.jpg,dog,woman,a woman standing next to a group of people on a sidewalk
2409094.jpg,dog,woman,a dog standing next to a group of people
2330481.jpg,dog,woman,two people and a dog on skis in the snow
2322764.jpg,dog,woman,a dog sitting on top of a scooter on the beach
2403205.jpg,dog,woman,a person on a motorcycle with a dog
2383170.jpg,dog,woman,a row of motorcycles parked in a parking lot
2316789.jpg,dog,woman,a dog standing next to a parking meter
2340178.jpg,dog,woman,a woman and her dog playing frisbee in a yard
2362530.jpg,dog,woman,a woman throwing a frisbee to a dog
2399443.jpg,dog,woman,a man walking a dog on a beach
2376697.jpg,dog,woman,a woman walking down the street with an umbrella
2402984.jpg,dog,woman,surfboards are lined up on the beach
2330759.jpg,dog,woman,people sitting on couches in a living room
2395632.jpg,dog,woman,a dog swimming in a pool of water
2349696.jpg,dog,woman,two women walking down a street holding umbrellas
2416234.jpg,dog,woman,a woman and two dogs are walking along a riverbank
2380921.jpg,dog,woman,a person is playing with a frisbee in a park
2353644.jpg,dog,woman,a variety of cakes are displayed on a table
2363971.jpg,dog,woman,a man and a woman are sitting on a couch together
2395166.jpg,dog,woman,a dog jumping up to catch a frisbee
2393573.jpg,dog,woman,a woman sitting on a couch holding a nintendo wii game controller
2352906.jpg,dog,woman,a woman walking a dog down a sidewalk
2397787.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2336458.jpg,dog,woman,a large group of people in a body of water
2406821.jpg,dog,woman,a blue and white bus stopped at a bus stop
2367512.jpg,dog,woman,a man and a dog walking down a street
2393152.jpg,dog,woman,kites flying in the air on a beach
2323367.jpg,dog,woman,a woman and her dog are in the water
2370877.jpg,dog,woman,a brown and white dog riding a skateboard
2316030.jpg,dog,woman,a dog on a surfboard in the water
2356877.jpg,dog,woman,a dog jumping up to catch a frisbee
2391849.jpg,dog,woman,a crowd of people walking down a street with umbrellas
2315875.jpg,dog,woman,a woman sitting on a bench reading a book
2401902.jpg,dog,woman,a woman walking a dog with an umbrella
2335375.jpg,dog,woman,a large group of people flying kites in a park
2341368.jpg,dog,woman,a woman walking down the street with a horse
2404245.jpg,dog,woman,a dog sitting in the middle of a room with other dogs
2417119.jpg,dog,woman,motorcyclists are riding down the street
2323280.jpg,dog,woman,a crowd of people standing around a dog at a dog show
2316688.jpg,dog,woman,a woman walking down a path with an umbrella
2413945.jpg,dog,woman,a woman sitting on the sidewalk with a dog
2355519.jpg,dog,woman,a dog holding a frisbee in it's mouth
2365507.jpg,dog,woman,a man and a woman are looking at a dog
2407605.jpg,dog,woman,a man riding a bike on top of a bench
308.jpg,dog,woman,people walking on a sidewalk near a body of water
2320118.jpg,dog,woman,a person holding an umbrella on a sidewalk
2412325.jpg,dog,woman,people standing in a field with umbrellas
2338677.jpg,dog,woman,a man holding a wii game controller in a living room
2406272.jpg,dog,woman,a woman standing next to a dog in a car
2413856.jpg,dog,woman,a dog jumping up to catch a frisbee
2359038.jpg,dog,woman,a dog catching a frisbee in its mouth
713048.jpg,dog,woman,people sitting on a boat with a dog
1592560.jpg,dog,woman,a man and a dog standing in front of a tv
2362800.jpg,dog,woman,a white refrigerator with a picture of a penguin on it
2355121.jpg,dog,woman,a woman holding a small dog in her hands
2416836.jpg,dog,woman,a dog catching a frisbee in its mouth
2372773.jpg,dog,woman,a man sitting on a bench reading a book
2380863.jpg,dog,woman,a food truck is parked in front of a building
2399755.jpg,dog,woman,a woman is walking down the street while talking on a cell phone
2372332.jpg,dog,woman,a woman kneeling down to pet a sheep
2395207.jpg,dog,woman,a woman standing in a kitchen preparing food
2377106.jpg,dog,woman,a man standing in a living room holding a wii controller
2395806.jpg,dog,woman,two women and a dog standing in a grassy field
2371249.jpg,dog,woman,a woman wearing a hat and holding a dog
2334244.jpg,dog,woman,a large group of people in a park with umbrellas
2353942.jpg,dog,woman,a black and white cat and a black and white dog
2377474.jpg,dog,woman,a person on a paddle board in the water
2355579.jpg,dog,woman,a large group of people skiing down a snow covered slope
2317093.jpg,dog,woman,a man and a woman are petting a dog
2347727.jpg,dog,woman,a cat standing on top of a kitchen counter
2353381.jpg,dog,woman,a woman sitting on a couch with a dog
2348791.jpg,dog,woman,a woman walking a dog on a leash
2394647.jpg,dog,woman,a woman sitting on a bed with a toothbrush in her mouth
2386134.jpg,dog,woman,a woman riding a bike with a dog on a leash
2380064.jpg,dog,woman,a living room filled with furniture and a tv
2382466.jpg,dog,woman,a man standing next to a parked motorcycle
2324193.jpg,dog,woman,a woman sitting on the floor with a dog
2377946.jpg,dog,woman,a woman and a dog laying on a bed
2411557.jpg,dog,woman,a man catching a frisbee in a park
2318369.jpg,dog,woman,a reflection of a woman in a mirror
2407734.jpg,dog,woman,a man and a dog are playing frisbee together
2318692.jpg,dog,woman,a black and white dog jumping up to catch a frisbee
2335936.jpg,dog,woman,a woman standing in a kitchen with a dog
2348065.jpg,dog,woman,a person walking a dog on a leash
2328085.jpg,dog,woman,two people walking down a path with a dog
2329456.jpg,dog,woman,a dog that is standing in front of a store
2387472.jpg,dog,woman,a woman taking a picture of herself in a car mirror
2412794.jpg,dog,woman,a woman and a man walking on the beach with a dog
713479.jpg,dog,woman,a man and woman sitting at a table with a dog
2386512.jpg,dog,woman,a dog that is sitting on the back of a motorcycle
2366052.jpg,dog,woman,a man selling oranges at a fruit stand
2360443.jpg,dog,woman,a woman and her dog playing frisbee in a field
2339221.jpg,dog,woman,a black and white dog and a black and white cat
2409740.jpg,dog,woman,a man riding a bike down a street next to a group of people
2411786.jpg,dog,woman,a dog chasing a frisbee in a park
2335189.jpg,dog,woman,a man and a woman walking a dog on a city street
2386435.jpg,dog,woman,a dog jumping in the air to catch a frisbee
2406283.jpg,dog,woman,a woman sitting at a table with two dogs
2367636.jpg,dog,woman,a crowd of people flying kites in a field
2347373.jpg,dog,woman,a young boy standing in the grass with a kite in his hand
2347725.jpg,dog,woman,a dog that is sitting on a leash
2370001.jpg,dog,woman,a woman sitting on the floor with a dog
2413586.jpg,dog,woman,a kitchen filled with lots of food and people
2397768.jpg,dog,woman,a number of dogs on a beach near a body of water
2416883.jpg,dog,woman,a woman holding a frisbee in a park
2393173.jpg,dog,woman,a man and a dog are walking on the grass with an umbrella
2358659.jpg,dog,woman,a woman catching a frisbee in a park
2326052.jpg,dog,woman,a woman and a dog on a surfboard in the water
2333137.jpg,dog,woman,a woman and her dog are playing frisbee in the yard
2333690.jpg,dog,woman,a little girl petting a dog in a bathroom
2389743.jpg,dog,woman,a man and a dog standing in front of a pickup truck
2404163.jpg,dog,woman,a person petting a dog on a leash
2352844.jpg,dog,bun,a hot dog on a bun on a table
2328709.jpg,dog,bun,a hot dog with ketchup and mustard on a bun
2409292.jpg,dog,bun,a hot dog on a bun with mustard and ketchup
2357329.jpg,dog,bun,a plate of fries and a hot dog on a table
2350300.jpg,dog,bun,a person holding a hot dog in a bun
2344997.jpg,dog,bun,a hot dog on a bun with french fries
2341651.jpg,dog,bun,a little boy eating a piece of pizza
2354029.jpg,dog,bun,a hot dog on a bun with mustard and ketchup
2400968.jpg,dog,bun,a hot dog and french fries on a plate
2380470.jpg,dog,bun,a man and a dog eating a hot dog
2377691.jpg,dog,bun,a person holding a hot dog in a bun
2399755.jpg,dog,bun,a woman is walking down the street while talking on a cell phone
2417730.jpg,dog,bun,a hot dog with ketchup and mustard on a bun
2335451.jpg,dog,bun,a hot dog with mustard and ketchup on a bun
2334564.jpg,dog,shirt,a person riding a surfboard on top of a body of water
2359938.jpg,dog,shirt,a collage of photos showing different types of food
2316169.jpg,dog,shirt,a woman holding a baby while sitting on a couch
2403391.jpg,dog,shirt,people on a beach with surfboards
2374573.jpg,dog,shirt,a little girl flying a kite on the beach
2323804.jpg,dog,shirt,a row of dogs sitting on a dock next to a body of water
2356619.jpg,dog,shirt,a dog catching a frisbee in its mouth
2373351.jpg,dog,shirt,two women sitting on a boat in the water
2374386.jpg,dog,shirt,a crowd of people walking down a street with umbrellas
2384339.jpg,dog,shirt,a man standing on a beach next to a woman holding a surfboard
2324546.jpg,dog,shirt,baseball players are playing baseball on a field
2366961.jpg,dog,shirt,men and women posing for a picture
2408562.jpg,dog,shirt,a dog catching a frisbee in its mouth
2366353.jpg,dog,shirt,a man and a dog playing frisbee in a park
2380237.jpg,dog,shirt,a dog with a frisbee in its mouth
2361930.jpg,dog,shirt,a man holding a dog on a leash
2348946.jpg,dog,shirt,a dog on a surfboard in the water
2415617.jpg,dog,shirt,a man and woman sitting on a bench with a dog
2317995.jpg,dog,shirt,a collage of photos of animals and people
2393765.jpg,dog,shirt,a man sitting on a bed with a dog
2358614.jpg,dog,shirt,a man sitting at a desk in front of a computer
2324236.jpg,dog,shirt,a woman riding a skateboard with a dog
2360057.jpg,dog,shirt,a person flying a kite on a beach
2371420.jpg,dog,shirt,a woman and a child playing a video game
2352484.jpg,dog,shirt,people on a boat in the water
2348412.jpg,dog,shirt,a woman feeding a dog water from a bucket
2343433.jpg,dog,shirt,a man and woman sitting on a park bench
2330356.jpg,dog,shirt,a man standing next to a wooden table with a dog
2368409.jpg,dog,shirt,people sitting around a table with a cake
2357994.jpg,dog,shirt,a dog sitting on a table in a factory
2371032.jpg,dog,shirt,a woman walking down the street with a dog
1593164.jpg,dog,shirt,a man feeding a dog a cup of water
286019.jpg,dog,shirt,a man and a woman sitting on a park bench
2317781.jpg,dog,shirt,people walking around on a beach
2377704.jpg,dog,shirt,a man and a woman petting a dog on a leash
2394992.jpg,dog,shirt,a man standing next to a dog in a field
2377932.jpg,dog,shirt,a man sitting on a bench with a dog
498019.jpg,dog,shirt,a man sitting on a couch with a cat
2370415.jpg,dog,shirt,a dog riding a surfboard on top of a wave
2320410.jpg,dog,shirt,two women sitting under an umbrella at a park
2358897.jpg,dog,shirt,a man standing next to a dog in the water
2358221.jpg,dog,shirt,a dog jumping in the air to catch a frisbee
2332586.jpg,dog,shirt,a little girl sitting next to a brown dog
713188.jpg,dog,shirt,a woman and a dog on a surfboard in the water
2388985.jpg,dog,shirt,a person riding a skateboard down a street
2382504.jpg,dog,shirt,a woman petting a black and white dog with a frisbee
2315606.jpg,dog,shirt,a person riding a skateboard on a sidewalk
2407510.jpg,dog,shirt,a man riding a skateboard next to a dog
2338488.jpg,dog,shirt,a woman riding a bike down a street
2330218.jpg,dog,shirt,a dog carrying a backpack on its back
2382139.jpg,dog,shirt,two boys sitting on a bunk bed reading a book
2325354.jpg,dog,shirt,a number of people in a field with a number of dogs
2414301.jpg,dog,shirt,a man and a woman sitting on a couch
2413346.jpg,dog,shirt,three women sitting on a bench next to a bear
2323635.jpg,dog,shirt,a parking lot filled with lots of parked cars
1592139.jpg,dog,shirt,a man sitting on a boat in the water
2385923.jpg,dog,shirt,a young boy holding a baseball bat on a field
2376794.jpg,dog,shirt,a young boy standing in front of a body of water
2377018.jpg,dog,shirt,a crowd of people standing around a motorcycle
2405157.jpg,dog,shirt,a boy jumping up into the air to catch a frisbee
2393332.jpg,dog,shirt,a man standing on a beach with a dog
2382301.jpg,dog,shirt,a woman walking her dog down a snow covered slope
2412687.jpg,dog,shirt,a brown and white dog holding a frisbee in it's mouth
2337026.jpg,dog,shirt,a man and a dog on a boat in the water
2351814.jpg,dog,shirt,a man and a dog sitting in the back of a car
2409245.jpg,dog,shirt,a car that has a bike on top of it
2368734.jpg,dog,shirt,a person sitting on a bike in the street
2414515.jpg,dog,shirt,a man riding a skateboard up the side of a ramp
2320636.jpg,dog,shirt,a man riding on the back of a brown horse
2377157.jpg,dog,shirt,a man throwing a frisbee to a dog
2350677.jpg,dog,shirt,a woman standing next to a table with a cake
2361415.jpg,dog,shirt,a family posing for a picture
2382399.jpg,dog,shirt,a dog jumping in the air to catch a frisbee
2363708.jpg,dog,shirt,a man riding a skateboard on top of a wooden ramp
2357723.jpg,dog,shirt,a birthday cake with a train on top of it
2368834.jpg,dog,shirt,a man sitting in a chair holding a dog
2398862.jpg,dog,shirt,a young boy holding a dog on a boat
2392123.jpg,dog,shirt,a man throwing a frisbee in a park
2403124.jpg,dog,shirt,two brown and white dogs and a man
2394272.jpg,dog,shirt,a woman catching a frisbee with a dog
2414707.jpg,dog,shirt,a large group of people on a beach with a dog
2367331.jpg,dog,shirt,a man riding a skateboard next to a dog
2377375.jpg,dog,shirt,a man and a woman sitting on a bench
2337084.jpg,dog,shirt,people standing in a living room playing a video game
2413880.jpg,dog,shirt,three young people riding skateboards down a city street
1160042.jpg,dog,shirt,bunches of bananas on display at a market
1592176.jpg,dog,shirt,a dog standing on a sidewalk next to a man
2341651.jpg,dog,shirt,a little boy eating a piece of pizza
2381352.jpg,dog,shirt,a man catching a frisbee in a park
2391800.jpg,dog,shirt,a person jumping in the air to catch a frisbee
2364372.jpg,dog,shirt,a woman riding on the back of a brown horse
2395104.jpg,dog,shirt,a woman holding a frisbee on a park bench
2347070.jpg,dog,shirt,a man and a woman flying a kite on the beach
2344629.jpg,dog,shirt,a man riding a bike with a dog on a leash
2316075.jpg,dog,shirt,a man sitting on the back of a truck in a field
2383229.jpg,dog,shirt,a woman sitting on the ground in front of a building
713406.jpg,dog,shirt,a woman sitting in a car with a dog
2400986.jpg,dog,shirt,a white and black dog running across a dirt field
2329565.jpg,dog,shirt,a man sitting on a couch with a dog
2356473.jpg,dog,shirt,a man standing in a field with a herd of cattle
2391053.jpg,dog,shirt,a man and a woman sitting on a bench with a dog
2358354.jpg,dog,shirt,a man sitting on a bench next to a dog
2325645.jpg,dog,shirt,a dog jumping in the air to catch a frisbee
2390441.jpg,dog,shirt,a man in a blue shirt is talking on a cell phone
2417574.jpg,dog,shirt,a man standing next to a herd of sheep
2386443.jpg,dog,shirt,people on a beach near the ocean
2343137.jpg,dog,shirt,a woman is holding a small dog in her hand
2342016.jpg,dog,shirt,a man and a dog on a surfboard in the ocean
2367813.jpg,dog,shirt,a man and a dog playing frisbee in a field
2372770.jpg,dog,shirt,a man sitting on a bench reading a newspaper
2345520.jpg,dog,shirt,a birthday party for a little girl with a birthday cake
2337303.jpg,dog,shirt,a man sitting on a bench talking on a cell phone
2394611.jpg,dog,shirt,a person jumping in the air to catch a frisbee
723.jpg,dog,shirt,a large white van parked in front of a building
2329720.jpg,dog,shirt,a man laying on a bed with a dog
2328709.jpg,dog,shirt,a hot dog with ketchup and mustard on a bun
2404081.jpg,dog,shirt,a young girl swinging a baseball bat on a beach
2354494.jpg,dog,shirt,a person laying on a couch with a dog
2333590.jpg,dog,shirt,a dog and a girl sitting next to each other
1831.jpg,dog,shirt,a dog jumping in the air to catch a frisbee
2320476.jpg,dog,shirt,a little girl walking with a dog on a beach
2351380.jpg,dog,shirt,a black and white dog standing next to a white and brown dog
2383252.jpg,dog,shirt,a woman petting a dog with a stuffed animal
2415422.jpg,dog,shirt,a woman sitting on a bed next to a dog
2332528.jpg,dog,shirt,a man holding a dog in his right hand
2364444.jpg,dog,shirt,a man in a field with a frisbee
2387897.jpg,dog,shirt,a black and white cat standing next to a window
2395217.jpg,dog,shirt,a man walking a dog on a leash near a body of water
2411201.jpg,dog,shirt,a dog sitting on the back of a motorcycle
2387137.jpg,dog,shirt,a woman sitting on a boat with a dog
2342372.jpg,dog,shirt,a man sitting on a couch with a small dog
2320868.jpg,dog,shirt,a crowd of people flying kites on a beach
2412671.jpg,dog,shirt,a woman walking her dog through a grassy field
